match.player1_id,match.player2_id,match.scores_csv
68567443.0,68567255.0,87-13
68567439.0,68567447.0,41-59
68567463.0,68567453.0,75-25
68567448.0,68567260.0,66-34
68567248.0,68567462.0,83-17
68567231.0,68567265.0,61-39
68567239.0,68567436.0,58-42
68567261.0,68567442.0,57-43
68567452.0,68567240.0,86-14
68567456.0,68567267.0,61-39
68567257.0,68567262.0,72-28
68567242.0,68567451.0,72-28
68567237.0,68567465.0,90-10
68567432.0,68567236.0,59-41
68567234.0,68567466.0,70-30
68567254.0,68567243.0,76-24
68567253.0,68567458.0,88-12
68567435.0,68567457.0,32-68
68567431.0,68567230.0,79-21
68567233.0,68567438.0,59-41
68567467.0,68567272.0,86-14
68567464.0,68567241.0,58-42
68567478.0,68567235.0,84-16
68567258.0,68567459.0,56-44
68567247.0,68567434.0,91-9
68567264.0,68567251.0,64-36
68567232.0,68567266.0,72-28
68567246.0,68567440.0,67-33
68567446.0,68567252.0,84-16
68567450.0,68567468.0,62-38
68567445.0,68567238.0,77-23
68567449.0,68567460.0,76-24
68567443.0,68567447.0,82-18
68567463.0,68567448.0,60-40
68567248.0,68567231.0,57-43
68567239.0,68567261.0,40-60
68567452.0,68567456.0,67-33
68567257.0,68567242.0,47-53
68567237.0,68567432.0,74-26
68567234.0,68567254.0,52-48
68567253.0,68567457.0,66-34
68567431.0,68567233.0,46-54
68567467.0,68567464.0,61-39
68567478.0,68567258.0,68-32
68567247.0,68567264.0,80-20
68567232.0,68567246.0,65-35
68567446.0,68567450.0,53-47
68567445.0,68567449.0,50-50
68567443.0,68567463.0,66-34
68567248.0,68567261.0,57-43
68567452.0,68567242.0,66-34
68567237.0,68567234.0,44-56
68567253.0,68567233.0,70-30
68567467.0,68567478.0,43-57
68567247.0,68567232.0,72-28
68567446.0,68567449.0,52-48
68567443.0,68567248.0,72-28
68567452.0,68567234.0,55-45
68567253.0,68567478.0,61-39
68567247.0,68567446.0,72-28
68567443.0,68567452.0,66-34
68567253.0,68567247.0,45-55
68567443.0,68567247.0,46-54
51930082.0,51930146.0,79-21
51930114.0,51930115.0,57-43
51930098.0,51930131.0,65-35
51930099.0,51930136.0,68-32
51930089.0,51930139.0,87-13
51930107.0,51930122.0,52-48
51930090.0,51930135.0,82-18
51930123.0,51930106.0,64-36
51930085.0,51930144.0,93-7
51930118.0,51930111.0,62-38
51930095.0,51930142.0,81-19
51930102.0,51930129.0,78-22
51930086.0,51930124.0,80-20
51930110.0,51930119.0,70-30
51930094.0,51930134.0,62-38
51930103.0,51930128.0,58-42
51930083.0,51930141.0,91-9
51930113.0,51930116.0,70-30
51930097.0,51930132.0,84-16
51930100.0,51930130.0,60-40
51930092.0,51930140.0,83-17
51930109.0,51930145.0,61-39
51930088.0,51930125.0,83-17
51930105.0,51930126.0,48-52
51930084.0,51930138.0,84-16
51930120.0,51930104.0,72-28
51930096.0,51930137.0,90-10
51930101.0,51930121.0,88-12
51930087.0,51930143.0,84-16
51930112.0,51930117.0,53-47
51930093.0,51930133.0,81-19
51930108.0,51930127.0,81-19
51930082.0,51930114.0,76-24
51930098.0,51930099.0,41-59
51930089.0,51930107.0,60-40
51930090.0,51930123.0,72-28
51930085.0,51930118.0,54-46
51930095.0,51930102.0,45-55
51930086.0,51930110.0,65-35
51930094.0,51930103.0,42-58
51930083.0,51930113.0,58-42
51930097.0,51930100.0,71-29
51930092.0,51930109.0,66-34
51930088.0,51930126.0,83-17
51930084.0,51930120.0,71-29
51930096.0,51930101.0,56-44
51930087.0,51930112.0,66-34
51930093.0,51930108.0,49-51
51930082.0,51930099.0,65-35
51930089.0,51930090.0,47-53
51930085.0,51930102.0,54-46
51930086.0,51930103.0,61-39
51930083.0,51930097.0,53-47
51930092.0,51930088.0,40-60
51930084.0,51930096.0,47-53
51930087.0,51930108.0,53-47
51930082.0,51930090.0,59-41
51930085.0,51930086.0,47-53
51930083.0,51930088.0,47-53
51930096.0,51930087.0,55-45
51930082.0,51930086.0,56-44
51930088.0,51930096.0,55-45
51930082.0,51930088.0,62-38
51930086.0,51930096.0,57-43
90773773.0,90773834.0,
90773804.0,90773805.0,
90773788.0,90773819.0,
90773789.0,90773818.0,
90773780.0,90773833.0,
90773797.0,90773829.0,
90773781.0,90773826.0,
90773795.0,90773812.0,
90773778.0,90773831.0,
90773801.0,90773808.0,
90773785.0,90773816.0,
90773792.0,90773815.0,
90773777.0,90773830.0,
90773800.0,90773809.0,
90773784.0,90773822.0,
90773793.0,90773824.0,
90773774.0,90773836.0,
90773803.0,90773806.0,
90773787.0,90773835.0,
90773790.0,90773823.0,
90773779.0,90773828.0,
90773798.0,90773811.0,
90773782.0,90773825.0,
90773796.0,90773813.0,
90773775.0,90773832.0,
90773802.0,90773807.0,
90773786.0,90773820.0,
90773791.0,90773817.0,
90773776.0,90773827.0,
90773799.0,90773810.0,
90773783.0,90773821.0,
90773794.0,90773814.0,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
