player_1_name,player_2_name,plus_minus,predicted,correct
Taxi Driver,Casablanca,-6,2.226902,-1.0
Before Sunrise,Eyes Wide Shut,30,-3.0891156,-1.0
Pulp Fiction,Fargo,-8,35.835373,-1.0
Apocalypse Now,The Empire Strikes Back,-6,27.083483,-1.0
Pulp Fiction,Fight Club,44,-3.5162725,-1.0
Pulp Fiction,The Silence of the Lambs,32,-2.9914074,-1.0
Miller's Crossing,Jurassic Park,-36,14.646459,-1.0
Boogie Nights,The Big Lebowski,-12,3.2729673,-1.0
Chungking Express,Jackie Brown,-20,30.845585,-1.0
The Shining,Eternal Sunshine of the Spotless Mind,-2,8.398177,-1.0
The Godfather: Part II,Pulp Fiction,-6,23.25098,-1.0
Unforgiven,The Matrix,-14,8.351688,-1.0
Rushmore,Se7en,4,-9.17543,-1.0
Grave of the Fireflies,Rio Bravo,-4,36.80011,-1.0
Heat,Dazed and Confused,-6,33.0859,-1.0
Vertigo,Eternal Sunshine of the Spotless Mind,6,-11.06164,-1.0
