player_1_name,player_1_seed,player_2_name,player_2_seed
Annie Hall,27,The Wizard Of Oz,38
Fight Club,8,Jackie Brown,24
Goodfellas,2,There's Something About Mary,63
The Apartment,16,Glengarry Glen Ross,49
Dazed and Confused,20,The Player,45
Taxi Driver,8,Casablanca,9
Vertigo,6,Annie Hall,27
The Godfather,1,Young Frankenstein,64
The Matrix,10,The Blair Witch Project,55
Unforgiven,7,Trainspotting,26
Pulp Fiction,1,Toy Story,16
Before Sunrise,14,Eyes Wide Shut,19
Pulp Fiction,1,Fargo,3
Se7en,22,Starship Troopers,43
Fargo,3,Before Sunrise,14
Apocalypse Now,3,The Empire Strikes Back,14
The Shawshank Redemption,27,The Usual Suspects,38
Pulp Fiction,10,Cool Hand Luke,55
L. A. Confidential,30,Glengarry Glen Ross,35
Citizen Kane,4,Jaws,29
2001: A Space Odyssey,5,The Empire Strikes Back,14
Boogie Nights,5,Naked,60
The Silence of the Lambs,4,Close-Up,61
Star Wars,15,The Breakfast Club,50
Fight Club,8,Safe,57
Goodfellas,7,Out of Sight,58
Alien,17,The Tree of Life,48
Reservoir Dogs,11,Boyz N the Hood,54
The Empire Strikes Back,14,Vertigo,6
Raging Bull,12,Back to the Future,21
Pulp Fiction,1,Saving Private Ryan,33
Rushmore,6,The Sweet Hereafter,59
Back to the Future,21,Groundhog Day,44
Reservoir Dogs,26,The Master,39
Unforgiven,7,Metropolitan,58
Being John Malkovich,18,Office Space,47
Pulp Fiction,1,Fight Club,8
Barton Fink,25,Leon: The Professional,40
Jackie Brown,24,Princess Mononoke,41
Goodfellas,2,The Matrix,10
Pulp Fiction,1,The Silence of the Lambs,4
Before Sunrise,14,The Insider,51
All The President's Men,30,Pather Panchali,35
Apocalypse Now,3,The Evil Dead,62
Pulp Fiction,1,Wild at Heart,64
Goodfellas,2,Jurassic Park,34
Boogie Nights,5,Malcolm X,28
Eyes Wide Shut,19,The Piano,46
Miller's Crossing,31,Jurassic Park,34
Boogie Nights,5,The Big Lebowski,12
Before Sunrise,32,Before Sunset,33
The Big Lebowski,12,Groundhog Day,21
2001: A Space Odyssey,5,To Kill A Mockingbird,60
Rushmore,6,The Shawshank Redemption,27
Do The Right Thing,28,Dog Day Afternoon,37
Goodfellas,7,Reservoir Dogs,26
Groundhog Day,21,Edward Scissorhands,44
One Flew Over the Cuckoo's Nest,18,Close Encounters of the Third Kind,47
Chungking Express,9,Jackie Brown,24
Chinatown,13,Raiders of the Lost Ark,20
The Silence of the Lambs,4,Terminator 2: Judgment Day,29
Malcolm X,28,Blue,37
Fargo,3,L. A. Confidential,30
Vertigo,6,Say Anything...,59
Blue Velvet,24,The Red Shoes,41
The Shining,11,Eternal Sunshine of the Spotless Mind,22
The Shining,11,Dead Poets Society,54
Mulholland Dr.,25,The Royal Tenebaums,40
The Godfather,1,2001: A Space Odyssey,5
Casablanca,9,Edward Scissorhands,56
The Silence of the Lambs,4,Dazed and Confused,20
Singin' in the Rain,19,Au Hasard Balthazar,46
The Godfather: Part II,2,Pulp Fiction,10
Taxi Driver,8,Midnight Run,57
Heat,13,JFK,52
Magnolia,15,Being John Malkovich,18
Casablanca,9,Blue Velvet,24
Pulp Fiction,10,Rio Bravo,42
The Matrix,10,Hoop Dreams,23
The Empire Strikes Back,14,A Nightmare on Elm Street,51
Unforgiven,7,The Matrix,10
The Godfather: Part II,2,Star Wars,15
The Godfather,1,Alien,17
Rushmore,6,Se7en,22
Fight Club,8,Barton Fink,25
Grave of the Fireflies,23,Rio Bravo,42
Chinatown,13,Batman,52
Citizen Kane,4,2001: A Space Odyssey,5
Jaws,29,Die Hard,36
Goodfellas,2,Being John Malkovich,18
Apocalypse Now,3,All The President's Men,30
Heat,13,Dazed and Confused,20
Citizen Kane,4,Born on the Fourth of July,61
Toy Story,16,Schindler's List,17
The Big Lebowski,31,Unforgiven,34
Vertigo,6,Eternal Sunshine of the Spotless Mind,22
The Godfather,1,Casablanca,9
The Godfather,1,Before Sunrise,32
The Empire Strikes Back,14,Singin' in the Rain,19
Hoop Dreams,23,The Thin Red Line,42
Trainspotting,26,Clueless,39
